Date,Open,High,Low,Close,Adj Close,Volume
2020/8/14,27828.93,27977.81,27759.39,27931.02,27931.02,2755400
2020/8/13,27922.51,27986.1,27789.78,27896.72,27896.72,3601600
2020/8/12,27860.24,28043.89,27843.32,27976.84,27976.84,3402100
2020/8/11,27961.64,28154.88,27624.51,27686.91,27686.91,4282200
2020/8/10,27488.21,27803.86,27488.21,27791.44,27791.44,3603400
2020/8/7,27321.68,27456.24,27223.55,27433.48,27433.48,3211700
2020/8/6,27170.82,27394.1,27145.25,27386.98,27386.98,3224600
2020/8/5,26924.78,27221.67,26924.78,27201.52,27201.52,3660000
2020/8/4,26664.61,26832.72,26597.82,26828.47,26828.47,3463500
2020/8/3,26542.32,26707.26,26534.38,26664.4,26664.4,4393800
2020/7/31,26409.33,26440.02,26013.59,26428.32,26428.32,4880500
2020/7/30,26367.42,26374.93,25992.28,26313.65,26313.65,3515400
2020/7/29,26388.44,26602.45,26375.39,26539.57,26539.57,3475800
2020/7/28,26529.45,26556.84,26361.71,26379.28,26379.28,3610900
2020/7/27,26447.67,26625.46,26426.92,26584.77,26584.77,4009300
2020/7/24,26533.41,26625.7,26402.86,26469.89,26469.89,4941700
2020/7/23,26955.97,26973.85,26560.04,26652.33,26652.33,4198000
2020/7/22,26824.56,27035.24,26794.19,27005.84,27005.84,4043400
2020/7/21,26833.14,27025.38,26766.22,26840.4,26840.4,3649300
2020/7/20,26660.29,26765.02,26504.2,26680.87,26680.87,3093900
2020/7/17,26774.62,26808.43,26619.88,26671.95,26671.95,2964600
2020/7/16,26746.57,26879.16,26590.01,26734.71,26734.71,2873300
2020/7/15,27009.81,27071.33,26692.48,26870.1,26870.1,3849000
2020/7/14,26044.17,26690.52,25994.98,26642.59,26642.59,4016400
2020/7/13,26225.07,26639.09,26044.23,26085.8,26085.8,4253200
2020/7/10,25690.35,26101.32,25637.5,26075.3,26075.3,3381700
2020/7/9,26094.92,26103.28,25523.51,25706.09,25706.09,3876100
2020/7/8,25950.06,26109.49,25816.25,26067.28,26067.28,3373000
2020/7/7,26172.01,26174.93,25866.58,25890.18,25890.18,3468200
2020/7/6,25996.08,26297.53,25996.08,26287.03,26287.03,3406900
2020/7/2,25936.45,26204.41,25778.12,25827.36,25827.36,3491300
2020/7/1,25879.38,26019.31,25713.61,25734.97,25734.97,3731800
